client_id,day1_v_avg,day1_i_std,day1_t_max,day1_r_int,day2_v_avg,day2_i_std,day2_t_max,day2_r_int,day3_v_avg,day3_i_std,day3_t_max,day3_r_int,day4_v_avg,day4_i_std,day4_t_max,day4_r_int,day5_v_avg,day5_i_std,day5_t_max,day5_r_int,day6_v_avg,day6_i_std,day6_t_max,day6_r_int,day7_v_avg,day7_i_std,day7_t_max,day7_r_int,soh
42,12.7,0.52,32.42,0.0164,12.67,0.39,29.53,0.013,12.7,0.36,41.65,0.0162,12.66,0.3,34.87,0.0187,12.7,0.57,30.27,0.013,12.62,0.6,33.32,0.0161,12.66,0.58,29.12,0.0132,91.5
43,12.69,0.44,31.92,0.014,12.7,0.7,29.89,0.021,12.7,0.52,38.44,0.0162,12.61,0.56,29.08,0.013,12.69,0.39,32.55,0.0212,12.67,0.47,34.51,0.017,12.6,0.9,28.87,0.018,91.5
44,12.68,0.43,33.08,0.013,12.6,0.63,31.17,0.0179,12.66,0.78,40.19,0.0167,12.6,0.59,29.54,0.0189,12.67,0.51,27.77,0.013,12.7,0.31,27.54,0.0159,12.7,0.41,32.52,0.013,91.5
45,12.63,0.66,31.44,0.013,12.64,0.43,34.0,0.019,12.65,0.82,39.07,0.0143,12.68,0.46,27.44,0.013,12.66,0.42,27.04,0.025,12.62,0.54,34.77,0.016,12.58,0.54,30.82,0.0225,91.5
46,12.66,0.62,28.39,0.013,12.7,0.67,31.36,0.013,12.7,0.76,39.5,0.013,12.68,0.49,32.03,0.0204,12.7,0.75,33.56,0.013,12.65,0.78,32.84,0.0206,12.62,0.76,27.2,0.0173,91.5
47,12.68,0.34,29.53,0.0186,12.7,0.41,27.85,0.013,12.7,0.81,40.68,0.0177,12.65,0.76,30.89,0.019,12.7,0.9,30.96,0.0178,12.7,0.86,28.86,0.013,12.61,0.81,33.97,0.02,91.5
48,12.7,0.35,31.45,0.013,12.64,0.51,32.88,0.013,12.63,0.65,38.47,0.0213,12.68,0.84,30.21,0.013,12.66,0.46,33.19,0.013,12.69,0.65,34.15,0.0144,12.59,0.54,33.63,0.0158,91.5
49,12.7,0.3,27.16,0.0201,12.7,0.77,31.08,0.0173,12.65,0.53,41.67,0.013,12.63,0.39,32.72,0.0158,12.7,0.67,29.32,0.013,12.67,0.76,27.5,0.013,12.62,0.37,31.76,0.013,91.5
50,12.61,0.74,30.42,0.013,12.63,0.69,30.25,0.013,12.69,0.57,41.86,0.0177,12.63,0.59,34.03,0.0172,12.7,0.32,30.34,0.0146,12.58,0.53,31.9,0.0164,12.56,0.61,27.75,0.019,91.5
51,12.7,0.65,33.07,0.013,12.67,0.69,32.51,0.013,12.7,0.4,39.04,0.0134,12.68,0.39,34.97,0.0169,12.64,0.74,32.39,0.0224,12.59,0.58,30.28,0.013,12.55,0.62,33.55,0.0154,91.5
52,12.68,0.33,28.33,0.013,12.69,0.89,28.26,0.0164,12.62,0.3,39.21,0.0152,12.62,0.39,30.83,0.013,12.64,0.39,32.3,0.013,12.6,0.75,29.23,0.0155,12.54,0.49,30.04,0.013,91.5
53,12.67,0.57,27.5,0.013,12.65,0.34,33.24,0.025,12.61,0.72,38.76,0.0191,12.68,0.37,28.92,0.0148,12.61,0.59,34.0,0.0146,12.67,0.33,34.8,0.0144,12.59,0.36,33.86,0.013,91.5
54,12.7,0.36,33.7,0.013,12.66,0.73,32.66,0.0133,12.6,0.41,39.66,0.0179,12.64,0.57,34.29,0.013,12.56,0.68,33.42,0.018,12.68,0.54,34.41,0.0141,12.56,0.49,27.79,0.0157,91.5
55,12.7,0.81,31.96,0.015,12.62,0.45,28.42,0.0187,12.7,0.62,38.4,0.013,12.61,0.42,28.31,0.013,12.6,0.52,34.02,0.013,12.62,0.64,32.53,0.0147,12.62,0.6,29.74,0.013,91.5
56,12.7,0.86,28.48,0.0135,12.7,0.34,33.87,0.013,12.7,0.7,38.47,0.013,12.65,0.71,33.57,0.0135,12.67,0.83,30.54,0.0169,12.52,0.82,27.89,0.013,12.68,0.62,27.06,0.013,91.5
57,12.66,0.77,33.58,0.0204,12.64,0.67,28.55,0.018,12.6,0.48,38.96,0.013,12.66,0.44,27.47,0.013,12.65,0.81,34.73,0.013,12.54,0.3,29.89,0.013,12.58,0.32,34.4,0.02,91.5
58,12.68,0.9,32.21,0.013,12.65,0.3,32.47,0.0136,12.7,0.79,39.16,0.013,12.69,0.6,27.43,0.013,12.66,0.74,34.53,0.0144,12.58,0.47,27.17,0.0149,12.68,0.71,33.99,0.013,91.5
59,12.7,0.66,29.61,0.0191,12.65,0.62,29.92,0.0177,12.6,0.58,41.95,0.0136,12.68,0.45,34.44,0.013,12.69,0.51,32.88,0.0204,12.7,0.42,32.15,0.0161,12.57,0.89,33.04,0.015,91.5
60,12.7,0.76,30.01,0.013,12.65,0.3,33.08,0.0162,12.63,0.37,38.14,0.013,12.7,0.53,28.89,0.0143,12.66,0.83,28.57,0.013,12.68,0.61,30.5,0.0186,12.65,0.44,29.6,0.0159,91.5
61,12.68,0.63,28.14,0.0147,12.69,0.69,27.42,0.013,12.6,0.76,40.98,0.013,12.7,0.56,28.33,0.0216,12.68,0.43,29.87,0.013,12.49,0.77,32.2,0.0148,12.59,0.66,34.07,0.013,91.5
62,12.69,0.51,33.71,0.013,12.69,0.48,29.08,0.013,12.7,0.76,42.2,0.013,12.61,0.58,31.69,0.013,12.69,0.42,29.98,0.013,12.63,0.61,30.7,0.0177,12.59,0.9,34.27,0.0138,91.5
63,12.64,0.35,31.08,0.014,12.7,0.3,30.75,0.013,12.7,0.64,40.49,0.014,12.69,0.65,28.77,0.0142,12.56,0.63,33.69,0.013,12.65,0.4,34.88,0.0216,12.62,0.61,34.23,0.0192,91.5
64,12.64,0.45,31.47,0.013,12.67,0.74,32.68,0.0152,12.7,0.59,40.07,0.013,12.66,0.51,32.77,0.0165,12.62,0.67,33.14,0.013,12.51,0.71,33.75,0.013,12.6,0.79,30.92,0.0207,91.5
65,12.7,0.68,34.05,0.013,12.68,0.62,31.86,0.0199,12.67,0.32,41.9,0.0169,12.7,0.38,33.21,0.0175,12.61,0.34,27.73,0.013,12.7,0.46,32.07,0.013,12.67,0.75,30.21,0.0164,91.5
66,12.7,0.41,27.14,0.0135,12.7,0.59,34.57,0.0161,12.67,0.7,40.22,0.014,12.63,0.68,32.85,0.013,12.62,0.87,33.86,0.017,12.61,0.41,31.34,0.0216,12.47,0.56,30.83,0.0195,91.5
67,12.7,0.47,27.56,0.0218,12.7,0.53,31.41,0.02,12.67,0.3,38.89,0.013,12.62,0.9,32.2,0.013,12.7,0.79,33.44,0.013,12.63,0.46,29.79,0.013,12.69,0.8,31.85,0.0138,91.5
68,12.7,0.6,28.3,0.013,12.68,0.38,29.5,0.0215,12.68,0.57,40.03,0.0154,12.6,0.38,31.79,0.013,12.6,0.63,30.78,0.016,12.65,0.69,30.78,0.0177,12.65,0.8,30.16,0.0136,91.5
69,12.7,0.46,27.17,0.013,12.68,0.63,30.46,0.0157,12.7,0.54,39.32,0.0166,12.69,0.3,28.09,0.0164,12.68,0.74,27.12,0.0167,12.64,0.39,28.79,0.013,12.64,0.64,34.95,0.0171,91.5
70,12.67,0.66,32.27,0.013,12.7,0.78,27.59,0.013,12.66,0.78,41.69,0.0194,12.63,0.62,31.96,0.013,12.62,0.69,32.72,0.013,12.55,0.41,33.92,0.0134,12.56,0.64,31.82,0.0173,91.5
71,12.7,0.86,32.16,0.013,12.7,0.83,28.1,0.013,12.64,0.52,39.6,0.013,12.63,0.42,27.36,0.0161,12.64,0.74,30.01,0.013,12.61,0.6,32.91,0.013,12.56,0.69,34.26,0.0139,91.5
72,12.7,0.78,28.7,0.013,12.7,0.79,31.22,0.013,12.7,0.71,37.93,0.013,12.7,0.71,28.98,0.013,12.7,0.35,29.77,0.013,12.7,0.61,32.81,0.013,12.57,0.35,30.13,0.013,93.6
73,12.7,0.59,28.2,0.013,12.7,0.37,34.74,0.013,12.58,0.38,41.8,0.0163,12.67,0.38,31.75,0.0172,12.7,0.62,30.55,0.013,12.64,0.58,31.9,0.0134,12.5,0.63,34.57,0.013,91.5
74,12.7,0.73,28.24,0.0153,12.7,0.4,29.02,0.013,12.7,0.79,38.12,0.013,12.68,0.77,32.4,0.0168,12.63,0.56,34.84,0.0164,12.6,0.87,28.41,0.013,12.59,0.37,33.7,0.016,91.5
75,12.57,0.48,34.59,0.0134,12.7,0.32,33.2,0.013,12.7,0.43,40.59,0.0152,12.55,0.83,27.38,0.013,12.65,0.41,27.79,0.013,12.58,0.7,30.02,0.013,12.56,0.76,32.98,0.0174,91.5
76,12.7,0.36,32.59,0.013,12.7,0.45,29.93,0.013,12.65,0.4,38.07,0.0172,12.69,0.75,33.9,0.0143,12.69,0.35,30.27,0.0145,12.57,0.61,28.21,0.013,12.63,0.43,31.8,0.0145,91.5
77,12.7,0.83,31.66,0.013,12.66,0.6,27.22,0.013,12.66,0.57,41.35,0.013,12.69,0.47,29.84,0.013,12.64,0.33,34.13,0.013,12.58,0.4,34.72,0.0205,12.56,0.55,29.17,0.0149,91.5
78,12.69,0.48,29.63,0.0151,12.7,0.37,28.3,0.0145,12.67,0.34,40.31,0.014,12.7,0.77,31.15,0.0134,12.61,0.67,32.49,0.0134,12.7,0.44,33.28,0.013,12.68,0.3,32.46,0.0132,91.5
79,12.7,0.3,30.5,0.013,12.7,0.54,31.94,0.013,12.67,0.64,38.8,0.013,12.7,0.9,33.32,0.0167,12.63,0.53,34.27,0.0205,12.67,0.75,28.2,0.013,12.61,0.48,34.93,0.0202,91.5
80,12.6,0.75,27.69,0.0211,12.7,0.37,28.82,0.0135,12.68,0.78,39.9,0.0152,12.68,0.53,29.58,0.013,12.66,0.49,29.17,0.0164,12.61,0.9,29.19,0.0217,12.64,0.58,28.08,0.013,91.5
81,12.69,0.44,34.97,0.013,12.65,0.79,33.79,0.013,12.67,0.53,41.69,0.0154,12.57,0.83,32.68,0.013,12.62,0.52,33.29,0.013,12.7,0.83,29.55,0.0157,12.68,0.51,27.21,0.0202,91.5
82,12.7,0.57,33.09,0.0187,12.7,0.7,29.96,0.0185,12.64,0.56,40.05,0.013,12.64,0.72,30.59,0.013,12.58,0.36,33.4,0.013,12.65,0.67,30.8,0.013,12.63,0.3,28.48,0.0141,91.5
83,12.7,0.3,31.88,0.0157,12.7,0.9,28.83,0.013,12.69,0.76,39.59,0.0141,12.68,0.65,27.89,0.0137,12.59,0.65,31.53,0.013,12.52,0.77,29.11,0.0209,12.7,0.63,32.03,0.013,91.5
84,12.67,0.37,31.68,0.0171,12.7,0.9,33.24,0.013,12.7,0.7,42.17,0.0152,12.66,0.57,27.46,0.013,12.66,0.41,31.72,0.0176,12.61,0.37,32.85,0.013,12.64,0.79,28.9,0.013,91.5
85,12.66,0.37,31.07,0.0152,12.64,0.78,28.34,0.013,12.65,0.66,40.67,0.0163,12.65,0.89,31.69,0.0135,12.61,0.49,34.09,0.0189,12.67,0.58,30.77,0.0189,12.55,0.58,32.81,0.0159,91.5
86,12.67,0.31,29.04,0.0153,12.7,0.38,34.68,0.0239,12.62,0.54,39.32,0.013,12.7,0.68,27.79,0.013,12.67,0.45,29.05,0.0154,12.57,0.53,33.94,0.013,12.62,0.3,33.2,0.0148,91.5
87,12.7,0.64,28.82,0.013,12.57,0.47,28.97,0.0208,12.7,0.81,40.15,0.013,12.62,0.33,28.09,0.0158,12.69,0.35,32.53,0.0154,12.63,0.48,27.93,0.0141,12.64,0.58,31.13,0.0229,91.5
88,12.7,0.76,31.29,0.013,12.67,0.44,33.48,0.0214,12.68,0.44,41.08,0.013,12.64,0.48,27.4,0.013,12.58,0.9,28.97,0.013,12.58,0.58,35.01,0.013,12.57,0.48,27.08,0.0135,91.5
89,12.67,0.55,27.52,0.013,12.69,0.59,31.08,0.0152,12.59,0.7,41.58,0.013,12.65,0.56,27.92,0.0158,12.68,0.73,29.71,0.0172,12.65,0.35,31.99,0.0136,12.67,0.67,34.92,0.0184,91.5
90,12.7,0.83,27.63,0.0194,12.66,0.6,32.93,0.0141,12.7,0.8,41.41,0.013,12.7,0.75,34.92,0.0132,12.68,0.77,28.47,0.013,12.61,0.46,27.59,0.019,12.6,0.38,31.56,0.0154,91.5
91,12.7,0.45,31.45,0.013,12.7,0.72,28.12,0.013,12.62,0.46,38.55,0.0177,12.56,0.89,32.17,0.022,12.56,0.31,30.0,0.013,12.54,0.58,28.57,0.0166,12.61,0.59,31.77,0.013,91.5
92,12.7,0.51,34.29,0.013,12.69,0.36,28.62,0.0154,12.65,0.66,40.34,0.0166,12.7,0.54,27.42,0.013,12.61,0.9,30.48,0.0166,12.67,0.65,32.16,0.017,12.59,0.35,28.8,0.0168,91.5
93,12.66,0.43,34.37,0.017,12.64,0.61,28.6,0.013,12.66,0.67,40.24,0.013,12.6,0.7,27.05,0.013,12.6,0.5,31.73,0.013,12.64,0.73,30.22,0.013,12.68,0.74,27.42,0.018,91.5
94,12.68,0.72,27.11,0.0145,12.7,0.31,27.99,0.013,12.64,0.52,38.42,0.013,12.66,0.85,33.54,0.017,12.69,0.76,28.92,0.013,12.67,0.59,27.9,0.013,12.6,0.81,28.7,0.0209,91.5
95,12.68,0.46,27.8,0.0138,12.7,0.69,29.1,0.0152,12.7,0.6,39.09,0.0162,12.69,0.72,34.38,0.0181,12.7,0.77,27.51,0.013,12.54,0.64,32.47,0.013,12.66,0.88,34.77,0.013,91.5
96,12.63,0.63,31.67,0.0185,12.6,0.31,33.65,0.013,12.7,0.67,38.04,0.0167,12.68,0.59,27.21,0.0134,12.68,0.49,34.36,0.013,12.7,0.51,33.49,0.013,12.62,0.46,28.98,0.0174,91.5
97,12.7,0.75,33.74,0.0143,12.7,0.59,33.0,0.0153,12.7,0.56,40.58,0.013,12.65,0.63,34.73,0.015,12.7,0.51,32.38,0.0143,12.7,0.5,27.39,0.013,12.61,0.83,28.86,0.013,91.5
98,12.7,0.63,34.63,0.013,12.69,0.65,29.49,0.013,12.7,0.88,39.28,0.0209,12.7,0.47,31.99,0.013,12.7,0.36,31.54,0.013,12.61,0.81,32.6,0.0144,12.62,0.37,33.73,0.013,91.5
99,12.7,0.64,33.89,0.013,12.7,0.72,29.82,0.013,12.65,0.77,39.2,0.0177,12.65,0.89,33.09,0.0178,12.68,0.82,29.19,0.0189,12.67,0.51,32.76,0.0144,12.57,0.51,32.14,0.0207,91.5
100,12.69,0.9,32.38,0.0154,12.7,0.34,32.72,0.017,12.7,0.73,38.1,0.0167,12.64,0.43,32.77,0.013,12.59,0.44,30.69,0.013,12.65,0.42,34.49,0.013,12.55,0.46,29.26,0.0166,91.5
101,12.63,0.58,28.64,0.013,12.67,0.86,33.67,0.0163,12.69,0.67,40.72,0.0199,12.67,0.51,28.48,0.0177,12.68,0.83,33.15,0.013,12.59,0.44,34.32,0.013,12.59,0.67,28.96,0.013,91.5
102,12.68,0.52,27.63,0.013,12.7,0.53,30.33,0.013,12.7,0.36,39.61,0.013,12.64,0.53,31.15,0.014,12.68,0.39,28.56,0.0155,12.63,0.53,32.74,0.013,12.7,0.76,33.0,0.0183,91.5
103,12.68,0.73,27.39,0.0184,12.68,0.53,32.9,0.013,12.64,0.71,41.8,0.013,12.64,0.48,29.63,0.013,12.7,0.67,30.14,0.013,12.66,0.71,33.7,0.013,12.63,0.62,27.52,0.013,91.5
104,12.66,0.71,31.92,0.013,12.7,0.49,31.5,0.025,12.7,0.63,41.5,0.013,12.7,0.71,28.81,0.0183,12.64,0.63,31.52,0.013,12.66,0.76,28.42,0.013,12.62,0.84,29.19,0.0186,91.5
105,12.69,0.31,27.22,0.013,12.7,0.74,35.0,0.0167,12.57,0.87,38.63,0.013,12.68,0.84,28.34,0.0189,12.64,0.71,31.15,0.0137,12.63,0.32,32.9,0.0138,12.64,0.42,32.52,0.0189,91.5
106,12.7,0.53,32.98,0.013,12.69,0.38,32.57,0.013,12.58,0.61,40.62,0.014,12.63,0.36,32.5,0.0211,12.64,0.75,30.37,0.013,12.53,0.3,33.81,0.0227,12.57,0.46,28.58,0.013,91.5
107,12.7,0.63,32.7,0.013,12.7,0.37,32.89,0.0149,12.7,0.7,40.49,0.013,12.67,0.47,27.85,0.0214,12.6,0.37,30.78,0.013,12.62,0.55,34.63,0.0141,12.61,0.58,29.85,0.013,91.5
108,12.7,0.52,27.59,0.013,12.67,0.52,33.78,0.0161,12.6,0.85,39.4,0.0144,12.55,0.62,34.49,0.0212,12.61,0.32,31.94,0.0139,12.59,0.57,27.28,0.013,12.59,0.82,32.78,0.013,91.5
109,12.7,0.35,34.26,0.0214,12.66,0.88,28.15,0.013,12.64,0.35,38.71,0.0155,12.66,0.54,30.86,0.013,12.57,0.63,33.43,0.013,12.69,0.45,32.97,0.013,12.62,0.65,27.34,0.013,91.5
110,12.7,0.85,31.21,0.013,12.7,0.35,29.96,0.013,12.67,0.63,39.76,0.013,12.68,0.41,27.55,0.0175,12.66,0.43,28.73,0.0149,12.68,0.5,31.92,0.0161,12.65,0.52,32.13,0.014,91.5
111,12.6,0.75,34.26,0.0169,12.7,0.39,30.96,0.013,12.67,0.9,40.14,0.0138,12.68,0.82,31.39,0.0134,12.63,0.74,28.3,0.0193,12.57,0.48,33.98,0.0134,12.65,0.73,29.71,0.0156,91.5
112,12.7,0.54,34.16,0.013,12.66,0.77,28.22,0.013,12.7,0.5,40.42,0.013,12.59,0.45,34.72,0.018,12.56,0.52,31.58,0.0216,12.67,0.52,28.7,0.0159,12.69,0.3,29.75,0.013,91.5
